○ 경제활동상태(성/시군/연령별) [],,,,,,,,,,,,,,,,,,,,,,,
성별,시군구별,연령별,항목,단위,2015. 1/2,2015. 2/2,2016. 1/2,2016. 2/2,2017. 1/2,2017. 2/2,2018. 1/2,2018. 2/2,2019. 1/2,2019. 2/2,2020. 1/2,2020. 2/2,2021. 1/2,2021. 2/2,2022. 1/2,2022. 2/2,2023. 1/2,2023. 2/2,2024. 1/2
전체,경기도 수원시,소계,15세이상인구,명,991009.2096,997669.95,1005834.353,1011886.667,1018826.493,1026205.789,1029195.083,1033178.29,1039334.396,1040102.853,1040145.169,1038074.193,1041058.022,1044105.773,1053264.35,1060762.523,1064087.591,1067921.036,1072665.125
전체,경기도 수원시,소계,경제활동인구,명,613677.6047,616394.6767,613467.2348,608553.1252,612479.2713,620329.5126,634491.31,654678.5189,655404.2751,651173.0699,635664.0397,630350.5931,632433.6687,650625.3601,656875.3875,685748.3121,667584.6169,682074.1065,692890.8325
전체,경기도 수원시,소계,취업자,명,583273.9635,594546.127,584536.2201,586849.1087,329202.2672,596172.8582,603908.3098,628547.4596,627291.2417,627291.2417,611284.5091,605967.4013,608482.1657,631472.4076,641462.7321,666257.1373,643854.8516,651992.2731,659871.3169
전체,경기도 수원시,소계,실업자,명,30403.6412,21848.54973,28931.01468,21704.01645,14971.11114,24156.65437,30583.00021,26131.05923,28113.0334,28113.0334,24379.53065,24383.19184,23951.50308,19152.9525,15412.65538,19491.17486,23729.76527,30081.83339,33019.51555
전체,경기도 수원시,소계,비경제활동인구,명,377331.6049,381275.2732,392367.1179,403333.5414,119001.0906,405876.2763,394703.7733,378499.7713,383930.1205,388929.7827,404481.1289,407723.6002,408624.3533,393480.4133,396388.9623,375014.2104,396502.9746,385846.93,379774.2923
전체,경기도 수원시,소계,경제활동참가율,%,61.92451,61.78343,60.99088,60.14044,60.11615,60.44884,61.64928,63.36549,63.06,62.6066,61.11301,60.72308,60.74913,62.31412,62.36567,64.64673,62.73775,63.86934,64.59526
전체,경기도 수원시,소계,고용률,%,58.85656,59.59347,58.11456,57.99554,32.31191,58.09486,58.67773,60.8363,60.35509,60.3105,58.76915,58.37419,58.44844,60.47974,60.90235,62.80926,60.50769,61.05248,61.51699
전체,경기도 수원시,소계,실업률,%,4.95433,3.54457,4.71598,3.56649,2.44435,3.89416,4.82008,3.99143,4.28942,4.31729,3.83529,3.8682,3.7872,2.94378,2.34636,2.84232,3.55457,4.41035,4.76547
전체,경기도 성남시,소계,15세이상인구,명,810644.8221,809109.7541,817275.1379,814687.1215,812283.4302,811009.2086,806727.7944,802002.5685,801432.5744,799327.2748,797576.2284,798659.7233,797299.3834,799998.7679,803117.5475,797619.2886,797614.6604,792425.1028,796585.3757
전체,경기도 성남시,소계,경제활동인구,명,500836.3793,495506.5729,507914.5851,503012.698,485407.1159,491543.535,490321.0863,495266.5666,492905.3222,495669.8736,471383.5129,497556.9933,495741.0096,501225.3596,497811.8124,508436.9228,494424.001,497311.5883,500130.6211
전체,경기도 성남시,소계,취업자,명,479091.1523,479113.9247,491070.0343,486076.9979,280893.8003,471737.2886,467219.2291,471276.1917,470378.1649,470378.1649,453204.6565,471846.405,471448.6706,484994.0739,482724.1815,493924.5552,478960.9304,479987.7847,479850.3685
전체,경기도 성남시,소계,실업자,명,21745.22695,16392.6482,16844.55077,16935.7001,12491.0732,19806.2464,23101.8572,23990.37489,22527.15737,22527.15737,18178.85647,25710.58832,24292.33897,16231.28572,15087.63084,14512.36763,15463.07062,17323.80353,20280.25263
