연도,반기,15세 이상 인구,취업자 수,고용률(%)
2010,상반기,580695.0,344717.9,59.4
2010,하반기,538423.0,319108.1,59.3
2011,상반기,583228.9,345707.7,59.3
2011,하반기,538361.3,319158.1,59.3
2012,상반기,590130.8,349991.7,59.3
2012,하반기,533931.6,315913.9,59.2
2013,상반기,581453.9,344879.1,59.3
2013,하반기,545080.7,322066.3,59.1
2014,상반기,580858.5,343863.7,59.2
2014,하반기,548148.3,324121.5,59.1
2015,상반기,595425.5,351986.7,59.1
2015,하반기,535211.5,315908.3,59.0
2016,상반기,595496.3,356.8,357.7
2016,하반기,577520.9,679099.6,59.7
2017,상반기,183.7,0.5,56.9
2017,하반기,1133574.8,691000.3,61.0
2018,상반기,595095.8,367431.5,224.7
2018,하반기,582681.6,-335147.7,0.0
2019,상반기,74.0,0.0,0.0
2019,하반기,1130157.8,714142.6,63.2
2020,상반기,598195.9,373277.7,62.4
2020,하반기,544084.1,339439.3,62.4
