분기별 연도,강원도_15-64세 고용률,강원도_15세이상인구,강원도_경제활동인구,강원도_경제활동참가율,강원도_고용률,강원도_비경제활동인구,강원도_실업률,강원도_실업자,강원도_취업자,경기도_15-64세 고용률,경기도_15세이상인구,경기도_경제활동인구,경기도_경제활동참가율,경기도_고용률,경기도_비경제활동인구,경기도_실업률,경기도_실업자,경기도_취업자,경상남도_15-64세 고용률,경상남도_15세이상인구,경상남도_경제활동인구,경상남도_경제활동참가율,경상남도_고용률,경상남도_비경제활동인구,경상남도_실업률,경상남도_실업자,경상남도_취업자,경상북도_15-64세 고용률,경상북도_15세이상인구,경상북도_경제활동인구,경상북도_경제활동참가율,경상북도_고용률,경상북도_비경제활동인구,경상북도_실업률,경상북도_실업자,경상북도_취업자,계_15-64세 고용률,계_15세이상인구,계_경제활동인구,계_경제활동참가율,계_고용률,계_비경제활동인구,계_실업률,계_실업자,계_취업자,광주광역시_15-64세 고용률,광주광역시_15세이상인구,광주광역시_경제활동인구,광주광역시_경제활동참가율,광주광역시_고용률,광주광역시_비경제활동인구,광주광역시_실업률,광주광역시_실업자,광주광역시_취업자,대구광역시_15-64세 고용률,대구광역시_15세이상인구,대구광역시_경제활동인구,대구광역시_경제활동참가율,대구광역시_고용률,대구광역시_비경제활동인구,대구광역시_실업률,대구광역시_실업자,대구광역시_취업자,대전광역시_15-64세 고용률,대전광역시_15세이상인구,대전광역시_경제활동인구,대전광역시_경제활동참가율,대전광역시_고용률,대전광역시_비경제활동인구,대전광역시_실업률,대전광역시_실업자,대전광역시_취업자,부산광역시_15-64세 고용률,부산광역시_15세이상인구,부산광역시_경제활동인구,부산광역시_경제활동참가율,부산광역시_고용률,부산광역시_비경제활동인구,부산광역시_실업률,부산광역시_실업자,부산광역시_취업자,서울특별시_15-64세 고용률,서울특별시_15세이상인구,서울특별시_경제활동인구,서울특별시_경제활동참가율,서울특별시_고용률,서울특별시_비경제활동인구,서울특별시_실업률,서울특별시_실업자,서울특별시_취업자,세종특별자치시_15-64세 고용률,세종특별자치시_15세이상인구,세종특별자치시_경제활동인구,세종특별자치시_경제활동참가율,세종특별자치시_고용률,세종특별자치시_비경제활동인구,세종특별자치시_실업률,세종특별자치시_실업자,세종특별자치시_취업자,울산광역시_15-64세 고용률,울산광역시_15세이상인구,울산광역시_경제활동인구,울산광역시_경제활동참가율,울산광역시_고용률,울산광역시_비경제활동인구,울산광역시_실업률,울산광역시_실업자,울산광역시_취업자,인천광역시_15-64세 고용률,인천광역시_15세이상인구,인천광역시_경제활동인구,인천광역시_경제활동참가율,인천광역시_고용률,인천광역시_비경제활동인구,인천광역시_실업률,인천광역시_실업자,인천광역시_취업자,전라남도_15-64세 고용률,전라남도_15세이상인구,전라남도_경제활동인구,전라남도_경제활동참가율,전라남도_고용률,전라남도_비경제활동인구,전라남도_실업률,전라남도_실업자,전라남도_취업자,전라북도_15-64세 고용률,전라북도_15세이상인구,전라북도_경제활동인구,전라북도_경제활동참가율,전라북도_고용률,전라북도_비경제활동인구,전라북도_실업률,전라북도_실업자,전라북도_취업자,제주도_15-64세 고용률,제주도_15세이상인구,제주도_경제활동인구,제주도_경제활동참가율,제주도_고용률,제주도_비경제활동인구,제주도_실업률,제주도_실업자,제주도_취업자,충청남도_15-64세 고용률,충청남도_15세이상인구,충청남도_경제활동인구,충청남도_경제활동참가율,충청남도_고용률,충청남도_비경제활동인구,충청남도_실업률,충청남도_실업자,충청남도_취업자,충청북도_15-64세 고용률,충청북도_15세이상인구,충청북도_경제활동인구,충청북도_경제활동참가율,충청북도_고용률,충청북도_비경제활동인구,충청북도_실업률,충청북도_실업자,충청북도_취업자
2015Q02,65.3,1278.8,785.2,61.4,59.5,493.6,3.0,23.8,761.4,67.1,10339.7,6689.0,64.7,62.1,3650.7,4.0,269.3,6419.7,66.2,2789.0,1746.7,62.6,61.0,1042.3,2.6,45.7,1701.0,68.1,2296.0,1502.2,65.4,63.5,793.8,3.0,44.5,1457.7,66.1,43194.2,27381.5,63.4,61.0,15812.7,3.8,1040.1,26341.4,62.7,1252.6,755.4,60.3,58.4,497.2,3.2,24.3,731.2,65.9,2096.0,1303.2,62.2,59.9,792.9,3.6,46.9,1256.3,64.6,1290.1,799.8,62.0,59.8,490.3,3.5,28.3,771.4,62.6,2993.0,1768.7,59.1,56.3,1224.2,4.7,82.4,1686.3,65.4,8618.3,5410.9,62.8,59.9,3207.3,4.6,246.9,5164.0,,,,,,,,,,62.6,969.2,593.9,61.3,59.3,375.3,3.2,19.1,574.8,65.8,2429.4,1579.3,65.0,61.5,850.1,5.4,85.5,1493.7,68.0,1531.0,996.0,65.1,63.6,535.0,2.2,22.0,973.9,65.3,1557.9,956.3,61.4,60.3,601.6,1.8,16.8,939.5,71.9,492.8,343.6,69.7,68.0,149.2,2.4,8.4,335.2,68.7,1917.3,1274.2,66.5,63.9,643.1,3.9,49.7,1224.5,68.5,1343.1,877.1,65.3,63.3,466.0,3.0,26.5,850.6
2015Q03,66.6,1281.9,800.3,62.4,60.7,481.6,2.7,21.9,778.4,67.0,10388.2,6712.2,64.6,62.0,3675.9,4.0,268.6,6443.6,66.6,2795.8,1759.3,62.9,61.4,1036.6,2.4,41.5,1717.7,68.0,2300.0,1490.3,64.8,63.1,809.7,2.7,39.5,1450.9,66.3,43296.5,27394.6,63.3,61.1,15901.9,3.4,930.0,26464.6,63.9,1254.5,764.5,60.9,59.4,490.0,2.5,19.3,745.2,65.4,2097.2,1293.8,61.7,59.6,803.4,3.4,44.2,1249.7,64.6,1290.5,795.4,61.6,59.9,495.1,2.9,22.9,772.6,62.7,2994.7,1744.3,58.2,56.3,1250.3,3.3,58.3,1686.0,65.7,8612.1,5398.0,62.7,60.2,3214.1,4.0,213.5,5184.5,,,,,,,,,,63.3,972.0,598.0,61.5,59.8,374.0,2.9,17.1,581.0,66.0,2437.0,1576.9,64.7,61.6,860.1,4.8,75.7,1501.2,68.1,1533.6,1000.5,65.2,63.6,533.1,2.6,25.6,974.9,65.5,1560.9,959.8,61.5,60.6,601.1,1.4,13.9,945.9,73.3,497.2,349.9,70.4,69.1,147.3,1.8,6.2,343.6,68.5,1933.2,1269.7,65.7,63.5,663.5,3.3,41.8,1228.0,69.3,1347.6,881.6,65.4,63.9,466.1,2.3,20.2,861.4
2015Q04,64.8,1284.5,766.2,59.6,58.1,518.3,2.6,19.8,746.4,66.8,10439.4,6658.2,63.8,61.6,3781.2,3.4,223.8,6434.4,66.4,2800.5,1758.7,62.8,61.2,1041.8,2.6,45.1,1713.6,68.4,2303.4,1485.5,64.5,62.8,817.8,2.6,38.1,1447.5,66.2,43387.0,27207.3,62.7,60.8,16179.8,3.1,845.3,26362.0,63.4,1255.6,756.8,60.3,58.6,498.8,2.8,21.0,735.8,65.5,2098.0,1287.1,61.3,59.5,810.9,3.0,38.1,1248.9,64.9,1291.3,798.8,61.9,59.9,492.5,3.1,24.7,774.1,63.1,2995.5,1751.5,58.5,56.5,1244.0,3.4,59.8,1691.8,65.7,8598.4,5362.2,62.4,60.1,3236.1,3.7,196.8,5165.4,,,,,,,,,,63.0,973.5,592.7,60.9,59.3,380.8,2.5,15.1,577.6,66.8,2444.8,1576.5,64.5,61.7,868.4,4.3,67.3,1509.1,68.7,1535.7,993.8,64.7,63.3,541.9,2.2,22.0,971.9,64.8,1563.1,940.8,60.2,59.2,622.3,1.6,15.2,925.6,74.7,501.9,357.1,71.1,70.0,144.7,1.6,5.8,351.3,68.2,1949.4,1248.0,64.0,62.1,701.3,3.0,37.4,1210.6,69.5,1352.1,873.3,64.6,63.5,478.8,1.8,15.3,858.0
2016Q01,61.5,1284.1,722.9,56.3,53.7,561.2,4.6,33.4,689.5,66.1,10469.7,6638.3,63.4,60.5,3831.4,4.5,301.1,6337.2,65.0,2804.9,1729.3,61.7,59.5,1075.6,3.5,60.3,1669.0,66.7,2309.0,1455.2,63.0,60.6,853.8,3.8,55.0,1400.1,65.2,43472.0,26896.2,61.9,59.2,16575.8,4.3,1149.0,25747.2,62.4,1255.8,745.9,59.4,57.4,509.9,3.3,24.9,721.0,64.2,2100.8,1285.9,61.2,58.1,815.0,5.1,65.4,1220.5,64.1,1294.4,791.6,61.2,59.0,502.9,3.4,27.2,764.3,62.8,3001.2,1758.5,58.6,55.9,1242.7,4.6,81.2,1677.3,65.1,8598.8,5347.0,62.2,59.3,3251.7,4.7,250.8,5096.2,,,,,,,,,,61.8,974.6,588.8,60.4,58.0,385.8,4.0,23.4,565.4,66.7,2450.1,1580.2,64.5,61.0,869.9,5.4,85.7,1494.5,66.2,1536.3,956.0,62.2,59.9,580.3,3.8,35.9,920.0,63.6,1566.1,919.1,58.7,57.1,647.1,2.7,24.7,894.4,73.3,505.7,352.5,69.7,68.1,153.3,2.2,7.9,344.5,65.1,1963.9,1194.6,60.8,58.3,769.2,4.1,49.3,1145.4,66.7,1356.5,830.5,61.2,59.6,526.0,2.7,22.7,807.8
2016Q02,65.8,1287.1,789.3,61.3,60.0,497.8,2.2,17.1,772.2,67.1,10522.5,6794.6,64.6,62.0,3727.9,4.0,270.8,6523.8,65.8,2810.0,1768.0,62.9,60.6,1042.0,3.6,64.1,1703.9,68.0,2312.7,1510.7,65.3,63.2,802.0,3.2,48.1,1462.6,66.2,43569.3,27578.4,63.3,60.9,15990.9,3.7,1026.5,26551.9,62.8,1257.1,756.5,60.2,58.4,500.6,2.9,21.8,734.7,65.2,2102.0,1309.1,62.3,59.6,792.9,4.3,56.3,1252.8,64.7,1295.4,801.0,61.8,60.0,494.4,3.0,23.9,777.0,62.5,3002.5,1759.0,58.6,56.3,1243.5,3.8,67.3,1691.6,65.8,8586.2,5374.9,62.6,60.0,3211.2,4.2,226.0,5148.9,,,,,,,,,,62.1,976.3,596.2,61.1,58.9,380.1,3.5,21.1,575.1,67.4,2458.4,1613.4,65.6,62.2,845.0,5.2,83.2,1530.2,67.7,1538.6,1001.0,65.1,63.4,537.6,2.6,25.9,975.1,66.1,1568.6,981.5,62.6,61.0,587.1,2.5,24.3,957.2,73.2,510.5,359.0,70.3,68.8,151.4,2.2,7.9,351.2,67.7,1980.3,1284.4,64.9,62.7,695.9,3.4,43.4,1241.0,68.5,1361.2,879.9,64.6,62.8,481.4,2.9,25.2,854.7
2016Q03,65.5,1289.0,794.7,61.7,60.0,494.3,2.6,20.7,774.0,67.6,10574.0,6842.9,64.7,62.3,3731.1,3.7,250.8,6592.1,66.2,2814.4,1781.6,63.3,61.0,1032.7,3.6,64.5,1717.1,67.6,2314.5,1503.5,65.0,63.0,811.0,3.1,45.9,1457.6,66.5,43652.0,27702.2,63.5,61.2,15949.8,3.5,983.0,26719.1,62.6,1257.9,758.3,60.3,58.3,499.6,3.3,24.7,733.6,65.9,2102.9,1311.7,62.4,60.1,791.2,3.7,48.3,1263.4,64.8,1295.8,804.2,62.1,59.9,491.7,3.5,28.3,775.8,62.4,3001.4,1754.0,58.4,56.2,1247.4,3.8,66.8,1687.2,65.9,8576.1,5381.1,62.7,60.2,3195.1,4.1,218.5,5162.6,,,,,,,,,,62.6,976.9,602.5,61.7,59.3,374.4,3.8,22.9,579.6,67.6,2465.0,1611.3,65.4,62.3,853.8,4.7,75.4,1535.9,68.6,1539.7,1017.8,66.1,64.3,521.9,2.8,28.4,989.4,66.6,1569.8,980.0,62.4,61.6,589.8,1.3,12.4,967.5,73.6,514.6,365.7,71.1,69.3,148.9,2.4,8.9,356.8,68.6,1994.9,1307.8,65.6,63.4,687.1,3.3,42.9,1264.9,69.0,1364.9,885.2,64.9,63.1,479.8,2.7,23.6,861.6
2016Q04,65.6,1290.6,777.5,60.2,59.0,513.1,2.0,15.8,761.7,67.3,10626.5,6793.4,63.9,61.8,3833.1,3.4,231.4,6562.0,66.7,2818.6,1771.8,62.9,61.2,1046.8,2.6,46.3,1725.6,67.8,2314.8,1491.4,64.4,62.7,823.4,2.6,39.3,1452.2,66.5,43729.7,27496.6,62.9,60.9,16233.1,3.2,878.4,26618.2,62.5,1258.4,751.9,59.8,58.1,506.6,2.8,21.2,730.7,65.7,2104.1,1296.7,61.6,59.5,807.4,3.5,45.7,1251.0,64.9,1295.9,802.3,61.9,60.0,493.6,3.0,24.2,778.1,62.8,2998.5,1746.3,58.2,56.3,1252.2,3.4,58.7,1687.6,66.2,8570.2,5384.5,62.8,60.4,3185.7,3.9,207.5,5177.0,,,,,,,,,,63.3,976.7,606.3,62.1,59.6,370.4,3.9,23.9,582.5,67.1,2470.7,1588.1,64.3,61.6,882.6,4.2,67.2,1520.8,67.6,1540.0,1001.5,65.0,63.2,538.5,2.9,28.7,972.9,65.6,1570.1,959.4,61.1,60.0,610.7,1.8,17.4,941.9,75.0,518.4,373.1,72.0,70.7,145.3,1.8,6.6,366.5,68.6,2008.2,1278.1,63.6,62.4,730.1,1.9,24.9,1253.2,68.6,1367.9,874.2,63.9,62.5,493.7,2.2,19.6,854.6
2017Q01,64.1,1292.7,753.6,58.3,56.0,539.1,3.9,29.5,724.1,66.9,10681.7,6806.1,63.7,61.0,3875.6,4.3,294.7,6511.4,65.8,2823.6,1749.7,62.0,59.8,1073.9,3.4,59.7,1689.9,66.9,2315.7,1466.2,63.3,60.8,849.5,3.9,57.4,1408.7,65.8,43818.1,27262.1,62.2,59.6,16556.0,4.3,1162.1,26100.0,63.4,1259.3,753.6,59.8,58.3,505.7,2.6,19.9,733.7,65.3,2105.9,1294.9,61.5,58.7,811.0,4.6,59.6,1235.3,64.0,1296.2,792.5,61.1,58.6,503.7,4.1,32.4,760.1,62.9,2996.3,1758.0,58.7,55.9,1238.3,4.8,84.4,1673.6,65.7,8566.1,5368.1,62.7,59.6,3198.0,4.9,263.5,5104.6,64.4,201.5,124.1,61.6,59.9,77.4,2.7,3.4,120.7,63.3,976.8,599.8,61.4,59.0,377.0,4.0,23.8,576.0,66.7,2476.9,1593.7,64.3,60.7,883.3,5.6,89.4,1504.3,65.3,1540.7,965.0,62.6,59.8,575.7,4.5,43.4,921.6,63.5,1570.7,927.9,59.1,56.9,642.8,3.7,34.1,893.8,75.7,522.2,374.4,71.7,70.3,147.9,2.0,7.5,366.9,66.1,1820.5,1096.6,60.2,58.4,723.8,3.1,33.7,1063.0,66.6,1371.2,837.9,61.1,59.2,533.2,3.1,25.6,812.3
2017Q02,68.7,1294.4,835.6,64.6,63.2,458.8,2.0,17.1,818.5,67.8,10735.2,6983.5,65.1,62.3,3751.7,4.3,298.2,6685.2,66.9,2828.1,1791.7,63.4,61.4,1036.4,3.1,54.8,1736.8,68.3,2316.2,1511.6,65.3,63.4,804.6,2.9,43.5,1468.1,66.9,43899.3,27992.8,63.8,61.3,15906.4,3.8,1074.1,26918.7,63.7,1259.9,773.1,61.4,59.2,486.9,3.5,26.8,746.3,65.4,2107.3,1303.8,61.9,59.3,803.4,4.1,53.7,1250.2,63.9,1296.4,795.2,61.3,59.1,501.1,3.7,29.2,766.0,63.8,2993.7,1785.2,59.6,56.8,1208.5,4.8,85.6,1699.6,66.5,8560.8,5413.8,63.2,60.4,3147.0,4.5,241.9,5171.9,65.6,207.9,131.8,63.4,62.3,76.1,1.6,2.1,129.6,64.1,976.7,608.8,62.3,60.1,367.9,3.6,21.7,587.1,67.7,2482.8,1617.6,65.2,62.0,865.2,4.8,77.5,1540.0,66.8,1541.1,998.2,64.8,62.7,542.9,3.1,31.4,966.8,65.2,1571.1,964.0,61.4,59.7,607.1,2.7,25.9,938.1,76.5,526.0,382.7,72.8,71.4,143.3,1.9,7.2,375.5,68.7,1827.5,1199.1,65.6,63.6,628.4,3.1,36.8,1162.3,69.9,1374.3,897.1,65.3,63.8,477.1,2.3,20.6,876.5
2017Q03,68.8,1295.5,842.4,65.0,63.7,453.1,2.0,16.6,825.8,68.2,10785.2,7031.0,65.2,62.7,3754.2,3.8,267.6,6763.4,66.5,2831.6,1777.5,62.8,61.1,1054.1,2.6,46.9,1730.7,68.5,2315.8,1494.4,64.5,63.2,821.5,2.0,29.7,1464.7,67.0,43966.5,27960.9,63.6,61.4,16005.6,3.4,963.1,26997.8,64.0,1260.1,769.9,61.1,59.3,490.2,2.9,22.6,747.3,65.0,2108.0,1285.0,61.0,58.9,823.0,3.4,43.5,1241.5,63.7,1296.1,782.5,60.4,58.8,513.6,2.6,20.2,762.3,63.5,2990.1,1768.7,59.2,56.4,1221.4,4.6,81.0,1687.7,66.8,8553.1,5432.2,63.5,60.7,3120.9,4.5,242.7,5189.5,65.0,214.3,135.4,63.2,61.9,78.9,2.1,2.8,132.6,63.7,976.2,605.1,62.0,59.7,371.1,3.6,22.0,583.1,67.3,2487.9,1605.5,64.5,61.7,882.4,4.3,69.3,1536.1,67.1,1540.9,995.6,64.6,62.9,545.3,2.7,27.1,968.5,64.6,1571.0,948.5,60.4,59.3,622.5,1.8,17.3,931.2,76.1,529.6,384.7,72.6,71.1,144.9,2.2,8.4,376.3,68.7,1834.0,1201.8,65.5,64.0,632.2,2.3,28.2,1173.6,70.3,1376.9,900.7,65.4,64.2,476.2,1.9,17.1,883.6
