Year,강원도_15-64세 고용률,강원도_15세이상인구,강원도_경제활동인구,강원도_경제활동참가율,강원도_고용률,강원도_비경제활동인구,강원도_실업률,강원도_실업자,강원도_취업자,경기도_15-64세 고용률,경기도_15세이상인구,경기도_경제활동인구,경기도_경제활동참가율,경기도_고용률,경기도_비경제활동인구,경기도_실업률,경기도_실업자,경기도_취업자,경상남도_15-64세 고용률,경상남도_15세이상인구,경상남도_경제활동인구,경상남도_경제활동참가율,경상남도_고용률,경상남도_비경제활동인구,경상남도_실업률,경상남도_실업자,경상남도_취업자,경상북도_15-64세 고용률,경상북도_15세이상인구,경상북도_경제활동인구,경상북도_경제활동참가율,경상북도_고용률,경상북도_비경제활동인구,경상북도_실업률,경상북도_실업자,경상북도_취업자,계_15-64세 고용률,계_15세이상인구,계_경제활동인구,계_경제활동참가율,계_고용률,계_비경제활동인구,계_실업률,계_실업자,계_취업자,광주광역시_15-64세 고용률,광주광역시_15세이상인구,광주광역시_경제활동인구,광주광역시_경제활동참가율,광주광역시_고용률,광주광역시_비경제활동인구,광주광역시_실업률,광주광역시_실업자,광주광역시_취업자,대구광역시_15-64세 고용률,대구광역시_15세이상인구,대구광역시_경제활동인구,대구광역시_경제활동참가율,대구광역시_고용률,대구광역시_비경제활동인구,대구광역시_실업률,대구광역시_실업자,대구광역시_취업자,대전광역시_15-64세 고용률,대전광역시_15세이상인구,대전광역시_경제활동인구,대전광역시_경제활동참가율,대전광역시_고용률,대전광역시_비경제활동인구,대전광역시_실업률,대전광역시_실업자,대전광역시_취업자,부산광역시_15-64세 고용률,부산광역시_15세이상인구,부산광역시_경제활동인구,부산광역시_경제활동참가율,부산광역시_고용률,부산광역시_비경제활동인구,부산광역시_실업률,부산광역시_실업자,부산광역시_취업자,서울특별시_15-64세 고용률,서울특별시_15세이상인구,서울특별시_경제활동인구,서울특별시_경제활동참가율,서울특별시_고용률,서울특별시_비경제활동인구,서울특별시_실업률,서울특별시_실업자,서울특별시_취업자,세종특별자치시_15-64세 고용률,세종특별자치시_15세이상인구,세종특별자치시_경제활동인구,세종특별자치시_경제활동참가율,세종특별자치시_고용률,세종특별자치시_비경제활동인구,세종특별자치시_실업률,세종특별자치시_실업자,세종특별자치시_취업자,울산광역시_15-64세 고용률,울산광역시_15세이상인구,울산광역시_경제활동인구,울산광역시_경제활동참가율,울산광역시_고용률,울산광역시_비경제활동인구,울산광역시_실업률,울산광역시_실업자,울산광역시_취업자,인천광역시_15-64세 고용률,인천광역시_15세이상인구,인천광역시_경제활동인구,인천광역시_경제활동참가율,인천광역시_고용률,인천광역시_비경제활동인구,인천광역시_실업률,인천광역시_실업자,인천광역시_취업자,전라남도_15-64세 고용률,전라남도_15세이상인구,전라남도_경제활동인구,전라남도_경제활동참가율,전라남도_고용률,전라남도_비경제활동인구,전라남도_실업률,전라남도_실업자,전라남도_취업자,전라북도_15-64세 고용률,전라북도_15세이상인구,전라북도_경제활동인구,전라북도_경제활동참가율,전라북도_고용률,전라북도_비경제활동인구,전라북도_실업률,전라북도_실업자,전라북도_취업자,제주도_15-64세 고용률,제주도_15세이상인구,제주도_경제활동인구,제주도_경제활동참가율,제주도_고용률,제주도_비경제활동인구,제주도_실업률,제주도_실업자,제주도_취업자,충청남도_15-64세 고용률,충청남도_15세이상인구,충청남도_경제활동인구,충청남도_경제활동참가율,충청남도_고용률,충청남도_비경제활동인구,충청남도_실업률,충청남도_실업자,충청남도_취업자,충청북도_15-64세 고용률,충청북도_15세이상인구,충청북도_경제활동인구,충청북도_경제활동참가율,충청북도_고용률,충청북도_비경제활동인구,충청북도_실업률,충청북도_실업자,충청북도_취업자
2015,64.35,1280.1,765.425,59.775,57.85,514.675,3.225,24.625,740.8,66.8,10365.275,6653.275,64.2,61.65,3711.975,3.925,260.675,6392.6,66.0,2791.35,1736.425,62.2,60.575,1054.9499999999998,2.65,45.675,1690.75,67.55,2297.7,1477.9,64.325,62.35,819.775,3.075,44.95,1433.0,65.925,43239.3,27153.45,62.8,60.55,16085.875,3.5999999999999996,975.7249999999999,26177.725,63.2,1253.175,755.175,60.25,58.525,498.0,2.9,22.0,733.225,65.45,2096.375,1291.125,61.575,59.425,805.275,3.5,44.95,1246.175,64.625,1290.475,796.5749999999999,61.725,59.625,493.9,3.375,26.975,769.6,62.7,2993.375,1755.675,58.65,56.275,1237.65,4.05,71.325,1684.4,65.525,8611.375,5390.9,62.625,59.975,3220.425,4.225,225.75,5165.15,,,,,,,,,,62.525,969.95,589.575,60.775,59.025,380.375,2.875,17.05,572.55,65.925,2433.3,1566.65,64.375,61.125,866.675,5.05,78.975,1487.6,67.875,1532.025,987.35,64.45,62.825,544.675,2.5500000000000003,24.975,962.375,64.575,1559.025,938.275,60.2,59.15,620.75,1.7,15.975,922.275,72.85,495.125,345.825,69.825,68.525,149.3,1.85,6.45,339.325,67.9,1925.375,1241.65,64.5,62.25,683.7,3.475,42.975,1198.7,68.3,1345.3249999999998,861.6,64.025,62.375,483.725,2.625,22.45,839.15
2016,64.6,1287.6999999999998,771.1,59.875,58.175,516.6,2.85,21.75,749.35,67.02499999999999,10548.175,6767.3,64.15,61.65,3780.875,3.9,263.52500000000003,6503.775,65.925,2811.975,1762.675,62.7,60.575,1049.275,3.325,58.8,1703.9,67.525,2312.75,1490.2,64.425,62.375,822.55,3.175,47.075,1443.125,66.1,43605.75,27418.35,62.9,60.55,16187.4,3.675,1009.225,26409.1,62.575,1257.3,753.15,59.925,58.05,504.175,3.0749999999999997,23.15,730.0,65.25,2102.45,1300.85,61.875,59.325,801.625,4.15,53.925,1246.925,64.625,1295.375,799.775,61.75,59.725,495.65,3.225,25.9,773.8,62.625,3000.9,1754.45,58.45,56.175,1246.45,3.9,68.5,1685.925,65.75,8582.825,5371.875,62.575,59.975,3210.9249999999997,4.225,225.7,5146.175,,,,,,,,,,62.45,976.125,598.45,61.325,58.95,377.675,3.8,22.825,575.65,67.2,2461.05,1598.25,64.95,61.775,862.825,4.875,77.875,1520.35,67.525,1538.65,994.075,64.6,62.7,544.575,3.025,29.724999999999998,964.35,65.475,1568.6499999999999,960.0,61.2,59.925,608.675,2.075,19.7,940.25,73.775,512.3,362.575,70.775,69.225,149.72500000000002,2.15,7.825,354.75,67.5,1986.825,1266.225,63.725,61.7,720.575,3.175,40.125,1226.125,68.2,1362.625,867.45,63.65,62.0,495.225,2.625,22.775,844.675
2017,67.1,1294.875,811.025,62.625,60.975,483.85,2.65,21.275,789.75,67.85,10759.675000000001,6953.275,64.625,62.125,3806.3999999999996,3.875,268.8,6684.45,66.425,2829.675,1774.85,62.75,60.85,1054.825,2.925,52.1,1722.725,67.85,2315.825,1487.8,64.25,62.45,828.05,2.775,41.25,1446.525,66.65,43930.475,27747.7,63.175,60.825,16182.75,3.675,1022.875,26724.825,63.8,1259.925,765.8,60.775,59.05,494.15,2.85,21.875,743.925,65.025,2107.525,1290.725,61.275,58.8,816.8,4.0,51.825,1238.9,63.975,1296.15,790.7,61.0,58.9,505.40000000000003,3.425,26.975,763.725,63.375,2991.725,1765.45,59.025000000000006,56.325,1226.3,4.574999999999999,80.825,1684.625,66.35,8556.525,5395.95,63.05,60.225,3160.575,4.525,243.55,5152.4,64.775,211.1,132.3,62.675,61.2,78.825,2.3,3.05,129.225,63.925,976.375,604.75,61.925,59.75,371.625,3.525,21.275,583.475,67.35,2485.2,1607.225,64.675,61.625,878.0,4.6499999999999995,74.725,1532.475,66.75,1540.9,988.1,64.125,62.1,552.8,3.15,31.275,956.825,64.375,1571.0,944.3,60.125,58.6,626.675,2.525,23.675,920.625,76.025,527.775,381.625,72.3,70.925,146.175,1.95,7.425000000000001,374.2,67.9,1830.675,1173.725,64.1,62.3,656.925,2.85,33.375,1140.375,69.075,1375.5,880.15,63.974999999999994,62.575,495.3,2.25,19.575000000000003,860.575
2018,66.725,1299.8249999999998,812.275,62.5,60.675,487.525,2.9250000000000003,23.675,788.625,67.9,10958.775,7058.2,64.4,61.95,3900.625,3.8,268.1,6790.125,66.9,2844.5249999999996,1800.6750000000002,63.3,61.375,1043.85,3.025,54.45,1746.225,66.925,2316.125,1487.95,64.225,61.599999999999994,828.175,4.15,61.425,1426.55,66.6,44182.1,27895.325,63.125,60.7,16286.775,3.8499999999999996,1073.225,26822.075,64.625,1261.125,778.575,61.725,59.4,482.55,3.775,29.5,749.075,64.22500000000001,2106.275,1282.025,60.85,58.2,824.275,4.35,55.85,1226.2,63.875,1292.45,792.15,61.275,58.675000000000004,500.32500000000005,4.275,33.6,758.525,62.95,2975.075,1728.475,58.125,55.675,1246.575,4.15,71.425,1657.05,66.025,8520.525,5334.6,62.6,59.625,3185.925,4.775,254.39999999999998,5080.2,65.5,240.02499999999998,151.85,63.225,61.775,88.2,2.3,3.45,148.35000000000002,63.6,972.7,601.625,61.85,59.0,371.075,4.55,27.525,574.05,68.625,2502.925,1644.575,65.7,62.925,858.375,4.25,70.025,1574.5,67.65,1539.6,988.35,64.225,62.425,551.25,2.8,27.45,960.925,63.875,1568.65,939.9749999999999,59.925,58.3,628.65,2.725,25.475,914.5,73.675,543.475,379.45,69.8,68.45,164.025,1.95,7.45,372.025,68.975,1855.15,1216.325,65.55,63.55,638.8,3.1,37.45,1178.9,69.14999999999999,1384.8,898.275,64.875,63.275,486.525,2.45,22.0,876.3
2019,68.35,1302.925,841.35,64.575,62.25,461.575,3.5999999999999996,30.1,811.25,67.6,11234.3,7225.9,64.3,61.875,4008.4,3.8,274.175,6951.725,67.025,2853.925,1817.375,63.65,61.275,1036.6,3.8,68.725,1748.65,67.4,2318.125,1488.425,64.2,61.7,829.725,3.925,58.275000000000006,1430.15,66.825,44503.675,28186.15,63.325,60.95,16317.525,3.75,1063.45,27122.725,64.44999999999999,1264.675,778.45,61.55,59.25,486.2,3.7,28.924999999999997,749.5,64.2,2104.225,1266.175,60.175,57.925,838.075,3.675,46.925,1219.225,65.25,1290.875,805.85,62.425,59.775,485.05,4.225,33.95,771.875,64.25,2959.775,1740.8,58.8,56.625,1218.95,3.775,65.225,1675.575,66.325,8477.85,5319.225,62.75,59.975,3158.625,4.4,233.075,5086.2,65.875,268.1,172.3,64.25,62.525,95.85,2.7,4.65,167.65,63.724999999999994,966.5250000000001,596.2,61.65,59.075,370.375,4.175,24.925,571.275,68.35,2528.575,1652.775,65.375,62.525,875.775,4.35,71.925,1580.875,68.825,1535.175,999.125,65.075,63.4,536.0,2.525,25.475,973.6500000000001,64.45,1562.775,953.175,60.975,59.35,609.6,2.675,25.7,927.425,72.45,557.825,389.95,69.925,68.425,167.85,2.15,8.3,381.65,69.3,1878.375,1231.325,65.55,63.65,647.025,2.875,35.425,1195.925,68.3,1399.7,907.875,64.85,62.875,491.85,3.05,27.75,880.1
2020,66.975,1307.425,827.225,63.275,60.775,480.2,3.9499999999999997,32.475,794.75,65.925,11455.65,7193.0,62.775,60.3,4262.65,3.9749999999999996,284.525,6908.475,65.525,2853.675,1801.65,63.125,60.6,1052.075,4.0,72.3,1729.35,66.4,2320.5,1478.25,63.725,61.125,842.25,4.05,59.8,1418.425,65.85,44785.025,28012.275,62.55,60.075,16772.75,3.975,1107.9250000000002,26904.325,63.85,1274.25,777.55,61.0,58.65,496.725,3.875,30.1,747.45,62.975,2090.75,1232.0,58.925,56.65,858.75,3.875,47.7,1184.275,66.175,1286.45,815.825,63.425,60.65,470.59999999999997,4.375,35.55,780.25,62.925,2948.1,1711.5,58.075,55.625,1236.6,4.175,71.8,1639.7,65.95,8515.875,5292.5,62.15,59.3,3223.325,4.55,241.1,5051.425,66.3,286.7,184.75,64.45,62.650000000000006,101.95,2.725,5.05,179.7,62.9,964.375,585.1,60.65,58.125,379.3,4.25,24.799999999999997,560.3,66.9,2543.8,1634.15,64.225,61.325,909.675,4.575,74.425,1559.7,69.125,1525.425,997.625,65.4,63.849999999999994,527.825,2.35,23.55,974.05,64.625,1555.425,955.775,61.45,59.925,599.625,2.4749999999999996,23.675,932.1,70.725,563.2,387.725,68.85,67.125,175.475,2.475,9.625,378.1,67.8,1884.9,1218.45,64.675,62.4,666.475,3.475,42.2,1176.25,69.0,1408.55,919.25,65.275,63.199999999999996,489.3,3.175,29.299999999999997,889.95
2021,67.2,1317.2,839.55,63.725,61.425,477.65000000000003,3.675,30.325,809.25,66.9,11694.525,7421.65,63.45,61.125,4272.925,3.675,272.2,7149.45,65.425,2854.475,1805.2,63.25,60.65,1049.275,4.075,73.35,1731.875,65.7,2311.475,1456.95,63.025,60.974999999999994,854.525,3.225,46.9,1410.125,66.525,45080.0,28309.975,62.825,60.5,16770.050000000003,3.65,1037.15,27272.775,63.4,1280.175,772.2,60.325,58.175,508.0,3.6,27.5,744.65,65.525,2089.875,1264.475,60.5,58.25,825.45,3.7249999999999996,47.275,1217.2,66.65,1288.225,811.4,63.0,60.9,476.79999999999995,3.3,26.75,784.625,63.85,2949.125,1715.05,58.15,56.2,1234.1,3.35,57.8,1657.25,66.575,8532.8,5312.1,62.275,59.25,3220.675,4.825,257.125,5054.975,66.175,296.125,189.4,63.975,62.65,106.775,2.075,3.9,185.45,62.875,961.475,575.275,59.825,57.675,386.2,3.5500000000000003,20.55,554.725,67.4,2548.425,1628.6499999999999,63.9,61.325,919.775,4.025,65.775,1562.875,69.45,1523.725,1008.15,66.175,64.65,515.6,2.375,23.5,984.675,66.075,1555.4,973.825,62.625,61.25,581.6,2.2,21.325,952.5,71.6,567.9,395.3,69.625,67.45,172.625,3.125,12.425,382.875,68.2,1892.45,1220.6,64.5,63.025000000000006,671.9,2.3000000000000003,27.65,1192.9,69.85,1416.45,920.15,64.95,63.349999999999994,496.29999999999995,2.475,22.825000000000003,897.35
2022,67.725,1322.475,844.55,63.875,61.849999999999994,477.92499999999995,3.2,26.85,817.7,69.975,11883.275,7808.625,65.7,63.9,4074.625,2.725,211.22500000000002,7597.4,66.45,2850.725,1799.65,63.125,61.05,1051.05,3.3,59.275,1740.375,68.2,2325.15,1498.95,64.45,62.875,826.175,2.5,37.25,1461.725,68.525,45260.125,28921.6,63.9,62.075,16338.525,2.9,832.5,28089.125,64.3,1279.25,772.35,60.375,58.625,506.875,2.875,22.35,750.0,66.9,2076.825,1265.1,60.949999999999996,59.125,811.725,2.925,37.125,1227.975,67.925,1288.0,812.875,63.1,61.599999999999994,475.15,2.35,19.325,793.55,65.4,2938.975,1729.9,58.849999999999994,57.125,1209.075,2.95,51.225,1678.6999999999998,68.4,8465.275,5294.599999999999,62.525,60.425,3170.65,3.425,181.25,5113.4,67.425,309.55,201.32500000000002,65.025,63.75,108.19999999999999,2.025,4.0249999999999995,197.325,64.75,956.175,584.45,61.125,59.15,371.75,3.2,18.775,565.7,69.4,2575.025,1669.525,64.825,62.65,905.5,3.35,55.875,1613.675,71.225,1524.625,1033.4,67.8,66.275,491.2,2.225,23.025,1010.4,66.80000000000001,1556.375,992.0,63.75,62.2,564.325,2.425,23.925,968.075,74.45,574.35,410.4,71.45,69.95,163.975,2.125,8.75,401.625,69.525,1907.525,1254.675,65.75,64.25,652.8249999999999,2.35,29.025,1225.65,71.1,1426.6,949.15,66.52499999999999,64.9,477.45,2.45,23.275,925.925
2023,69.55,1327.3,864.475,65.125,63.325,462.875,2.8,23.775,840.65,70.4,11960.975,7859.5,65.7,63.974999999999994,4101.5,2.6,206.4,7653.125,68.175,2839.85,1805.15,63.574999999999996,62.0,1034.7,2.5,44.95,1760.225,68.35,2302.975,1500.65,65.2,63.475,802.375,2.6,39.05,1461.575,69.225,45407.075,29203.0,64.325,62.575,16204.1,2.7,786.7,28416.3,65.625,1279.575,788.775,61.65,60.075,490.825,2.575,20.075,768.7,67.8,2085.475,1285.975,61.65,59.775,799.425,3.075,39.325,1246.675,67.825,1293.475,819.9,63.375,61.6,473.55,2.8,22.875,797.0,66.525,2930.425,1746.125,59.575,57.7,1184.3,3.125,54.775,1691.35,69.475,8468.95,5319.25,62.8,61.075,3149.7,2.75,145.725,5173.55,67.85,322.15,212.425,65.95,64.6,109.725,2.05,4.325,208.1,65.525,956.45,591.8,61.875,59.775,364.65,3.45,20.35,571.5,69.425,2622.925,1709.0,65.15,63.075,913.9,3.175,54.125,1654.9,71.85,1523.025,1041.5,68.375,66.9,481.525,2.225,22.8,1018.725,67.775,1553.35,1008.0,64.89999999999999,63.275,545.325,2.5,25.175,982.85,74.55,579.25,408.725,70.55,69.225,170.55,1.9,7.75,401.0,69.75,1926.3,1281.1,66.475,64.775,645.2,2.6,33.25,1247.8000000000002,71.4,1434.6,960.675,66.95,65.425,473.9,2.3,22.025000000000002,938.675
2024,70.35,1328.0,867.575,65.325,63.550000000000004,460.375,2.8,24.025,843.6,70.75,12070.975,7937.8,65.75,64.025,4133.15,2.6,205.675,7732.15,68.025,2830.175,1798.675,63.575,62.1,1031.475,2.2750000000000004,40.900000000000006,1757.8249999999998,68.9,2283.875,1500.0,65.7,64.025,783.875,2.55,38.225,1461.75,69.525,45570.325,29398.45,64.5,62.7,16171.875,2.8,822.95,28575.525,65.975,1278.55,798.475,62.425,60.55,480.04999999999995,3.05,24.175,774.325,65.65,2096.05,1258.375,60.025,57.975,837.675,3.425,43.025,1215.325,67.225,1301.5249999999999,813.625,62.525,60.65,487.875,3.025,24.575,789.05,66.875,2920.1,1739.5,59.575,57.8,1180.6,2.975,51.625,1687.875,70.425,8470.4,5392.625,63.65,61.725,3077.775,3.05,164.4,5228.2,68.975,322.775,214.425,66.425,65.175,108.35,1.875,3.9749999999999996,210.425,65.95,956.45,594.225,62.15,59.825,362.225,3.7,22.0,572.2,69.95,2670.725,1753.25,65.65,63.5,917.5,3.25,57.1,1696.125,70.80000000000001,1520.075,1032.425,67.9,66.05,487.675,2.725,28.200000000000003,1004.2,68.675,1548.75,1013.125,65.425,63.775,535.6,2.525,25.675,987.475,74.725,577.6,409.925,70.975,69.325,167.67499999999998,2.35,9.525,400.4,70.25,1951.7,1302.125,66.7,64.775,649.6,2.95,38.075,1264.025,71.675,1442.6,972.25,67.4,65.875,470.35,2.25,21.799999999999997,950.475
