연도,분기,분기별 연도,지역,고용률,취업자,실업률,실업자
2015,01,2015Q01,경상북도,60.0,1375.9,4.0,57.7
2015,02,2015Q02,경상북도,63.5,1457.7,3.0,44.5
2015,03,2015Q03,경상북도,63.1,1450.9,2.7,39.5
2015,04,2015Q04,경상북도,62.8,1447.5,2.6,38.1
2016,01,2016Q01,경상북도,60.6,1400.1,3.8,55.0
2016,02,2016Q02,경상북도,63.2,1462.6,3.2,48.1
2016,03,2016Q03,경상북도,63.0,1457.6,3.1,45.9
2016,04,2016Q04,경상북도,62.7,1452.2,2.6,39.3
2017,01,2017Q01,경상북도,60.8,1408.7,3.9,57.4
2017,02,2017Q02,경상북도,63.4,1468.1,2.9,43.5
2017,03,2017Q03,경상북도,63.2,1464.7,2.0,29.7
2017,04,2017Q04,경상북도,62.4,1444.6,2.3,34.4
2018,01,2018Q01,경상북도,59.5,1378.2,4.8,70.1
2018,02,2018Q02,경상북도,62.3,1442.0,4.0,59.5
2018,03,2018Q03,경상북도,62.3,1442.8,4.3,64.2
2018,04,2018Q04,경상북도,62.3,1443.2,3.5,51.9
2019,01,2019Q01,경상북도,59.9,1387.5,4.9,71.9
2019,02,2019Q02,경상북도,61.9,1435.8,4.5,67.2
2019,03,2019Q03,경상북도,62.5,1448.0,3.0,44.8
2019,04,2019Q04,경상북도,62.5,1449.3,3.3,49.2
2020,01,2020Q01,경상북도,60.2,1397.1,4.2,61.8
2020,02,2020Q02,경상북도,60.9,1413.1,4.9,72.2
2020,03,2020Q03,경상북도,62.1,1441.3,3.5,52.4
2020,04,2020Q04,경상북도,61.3,1422.2,3.6,52.8
2021,01,2021Q01,경상북도,58.5,1356.6,5.4,77.2
2021,02,2021Q02,경상북도,61.3,1416.9,3.7,54.7
2021,03,2021Q03,경상북도,62.3,1439.0,1.8,25.9
2021,04,2021Q04,경상북도,61.8,1428.0,2.0,29.8
2022,01,2022Q01,경상북도,60.6,1404.7,3.4,49.1
2022,02,2022Q02,경상북도,64.1,1492.4,2.2,33.1
2022,03,2022Q03,경상북도,63.8,1485.5,1.8,27.5
2022,04,2022Q04,경상북도,63.0,1464.3,2.6,39.3
2023,01,2023Q01,경상북도,61.5,1426.1,3.0,43.9
2023,02,2023Q02,경상북도,64.7,1496.5,2.7,41.3
2023,03,2023Q03,경상북도,64.0,1465.4,2.2,33.3
2023,04,2023Q04,경상북도,63.7,1458.3,2.5,37.7
2024,01,2024Q01,경상북도,62.3,1423.3,3.4,50.2
2024,02,2024Q02,경상북도,65.0,1484.5,2.7,40.6
2024,03,2024Q03,경상북도,64.8,1479.2,1.8,27.2
2024,04,2024Q04,경상북도,64.0,1460.0,2.3,34.9
