Time,"농업, 임업 및 어업 (A)","광·제조업 (B,C)",건설업 (F),"도소매·숙박음식업 (G,I)","사업·개인·공공서비스 및 기타 (E,L~U)","전기·운수·통신·금융 (D,H,J,K)"
2012_H1,3019.1359918262497,119024.52147370994,64281.178859489184,292448.1057661346,311120.178812129,94030.78810607988
2012_H2,3088.8640081737503,140807.47852629004,72287.82114051082,258939.8942338654,322461.821187871,108937.21189392013
2013_H1,3339.391303381144,137069.881587428,67469.92483945924,310537.127100522,296550.6803924617,101354.64134178552
2013_H2,3210.608696618856,113765.368412572,69097.07516054076,260016.622899478,354881.0696075383,100734.60865821448
2014_H1,3411.35871777593,111418.72477928123,72370.05152064307,280823.8216264929,363051.1738716511,100080.80237977864
2014_H2,3580.6412822240695,130419.77522071879,64194.948479356935,308895.6783735071,306230.3261283489,101129.69762022136
2015_H1,3471.6323300093864,109777.46404807475,62743.76794481948,291487.98301984096,346940.80912221974,98157.84185857238
2015_H2,3962.3676699906136,123064.28595192525,73819.23205518052,317397.26698015904,340190.44087778026,102173.90814142762
2016_H1,3597.9705980891517,122577.26360535607,65562.42648987749,297250.19934236916,361729.13396927196,102375.27490164633
2016_H2,4278.029401910848,101267.73639464393,70998.57351012251,330800.8006576308,343251.86603072804,97077.72509835367
2017_H1,44915.159701715005,162895.08709514304,102000.10560135846,284855.65098260704,442904.6321790926,149772.29152315523
2017_H2,45801.840298284995,141853.91290485696,94065.89439864154,325049.34901739296,500787.3678209074,164462.70847684477
2018_H1,45723.059556924745,150788.69551653398,95570.01835507421,270965.5883131695,521919.6008864916,159081.50614847758
2018_H2,38093.940443075255,154773.30448346602,102750.98164492579,315830.4116868305,441677.3991135084,147531.49385152242
2019_H1,39560.97772067681,154485.64200675098,102106.23924641463,270917.0003115267,516059.97643813933,155479.9087265022
2019_H2,38484.02227932319,153829.35799324902,99705.76075358537,315318.99968847336,458624.02356186067,154864.0912734978
2020_H1,34702.061362156506,166063.66264846062,95995.30623785315,266379.4790849462,470559.1448042919,149064.06066159258
2020_H2,33569.938637843494,145189.33735153938,108298.69376214685,323043.5209150538,515897.8551957081,166582.93933840742
2021_H1,37217.438752393035,162570.7660707901,100802.83547391435,270128.150967746,479563.2046604326,161041.34844477806
2021_H2,38846.561247606965,149374.2339292099,103919.16452608565,320225.849032254,527467.7953395674,162015.65155522194
2022_H1,34480.260588348516,165220.0179466814,107597.95349525519,303405.33347633027,457276.57552529837,147537.95865243816
2022_H2,41583.739411651484,147111.9820533186,97124.04650474481,284356.66652366973,549695.4244747016,167327.04134756184
